time [s],motorCurrentAngle,newVelocityLimit,
1.34,1.10217,1,
1.35,1.10715,1.11764,
1.36,1.1152,1.19046,
1.37,1.12019,1.27449,
1.38,1.13054,1.34731,
1.39,1.14358,1.66661,
1.4,1.16736,1.9299,
1.41,1.19344,2.238,
1.42,1.22028,2.52929,
1.43,1.25365,2.88781,
1.44,1.29813,3.82891,
1.45,1.3453,4.37789,
1.46,1.39707,4.97728,
1.47,1.45997,5,
1.48,1.52631,5,
1.49,1.59726,5,
1.5,1.67281,5,
1.51,1.74567,5,
1.52,1.8239,5,
1.53,1.89255,5,
1.54,1.95774,4.81048,
1.55,2.0145,4.08784,
1.56,2.05592,3.0123,
1.57,2.08046,2.7042,
1.58,2.09005,2.55295,
1.59,2.08851,2.54735,
1.6,2.07816,2.59777,
1.61,2.06627,2.87785,
1.62,2.05285,3.04031,
1.63,2.04441,3.17475,
1.64,2.04365,3.24757,
1.65,2.054,3.07392,
1.66,2.07854,2.82184,
1.67,2.11037,2.44092,
1.68,2.15141,1.99277,
1.69,2.19283,1.00685,
1.7,2.23309,1,
1.71,2.26416,1,
1.72,2.27873,1,
1.73,2.28026,1,
1.74,2.26531,1,
1.75,2.23693,1,
1.76,2.19168,1,
1.77,2.14451,1.30375,
1.78,2.10232,2.32328,
1.79,2.07394,2.6986,
1.8,2.0609,2.91707,
1.81,2.06781,2.94508,
1.82,2.09465,2.47453,
1.83,2.14105,1.91434,
1.84,2.20318,1.24213,
1.85,2.26646,1,
1.86,2.32667,1,
1.87,2.37614,1,
1.88,2.40643,1,
1.89,2.40758,1,
1.9,2.39378,1,
1.91,2.36425,1,
1.92,2.31823,1,
1.93,2.25418,1,
1.94,2.18822,1,
1.95,2.13607,1.84712,
1.96,2.09849,2.32888,
1.97,2.08315,2.58656,
1.98,2.09005,2.63698,
1.99,2.11574,2.48013,
2,2.16675,1.57824,
2.01,2.23348,1,
2.02,2.30289,1,
2.03,2.37268,1,
2.04,2.42446,1,
2.05,2.45629,1,
2.06,2.46511,1,
2.07,2.4559,1,
2.08,2.42944,1,
2.09,2.38227,1,
2.1,2.32206,1,
2.11,2.25572,1,
2.12,2.19743,1,
2.13,2.14949,1.52222,
2.14,2.11843,1.97036,
2.15,2.10884,2.23925,
2.16,2.12188,2.06559,
2.17,2.15409,1.70148,
2.18,2.20471,1.1693,
2.19,2.26799,1,
2.2,2.3328,1,
2.21,2.39109,1,
2.22,2.43366,1,
2.23,2.45667,1,
2.24,2.45744,1,
2.25,2.44248,1,
2.26,2.40988,1,
2.27,2.35619,1,
2.28,2.29675,1,
2.29,2.23424,1,
2.3,2.1794,1.13009,
2.31,2.13722,1.65106,
2.32,2.11114,2.04879,
2.33,2.11076,2.25605,
2.34,2.13032,1.99837,
2.35,2.16675,1.62305,
2.36,2.22504,1.02366,
2.37,2.2887,1,
2.38,2.35504,1,
2.39,2.40452,1,
2.4,2.44133,1,
2.41,2.45667,1,
2.42,2.45245,1,
2.43,2.43251,1,
2.44,2.39071,1,
2.45,2.33395,1,
2.46,2.27106,1,
2.47,2.21353,1,
2.48,2.16445,1.23653,
2.49,2.1261,1.75749,
2.5,2.10884,2.29527,
2.51,2.11421,2.20564,
2.52,2.1399,1.95356,
2.53,2.18477,1.51662,
2.54,2.2469,1,
3.6,2.25303,1,
3.61,2.31631,1,
3.62,2.37537,1,
3.63,2.42139,1,
3.64,2.44823,1,
3.65,2.45629,1,
3.66,2.4444,1,
3.67,2.41602,1,
3.68,2.36578,1,
3.69,2.30672,1,
3.7,2.24575,1,
3.71,2.18822,1,
3.72,2.14412,1.52222,
3.73,2.11459,1.97036,
3.74,2.10884,2.26726,
3.75,2.1238,2.0992,
3.76,2.15716,1.75749,
3.77,2.21047,1.23093,
3.78,2.27183,1,
3.79,2.33587,1,
3.8,2.39224,1,
3.81,2.43213,1,
3.82,2.45399,1,
3.83,2.4536,1,
3.84,2.4375,1,
3.85,2.40145,1,
3.86,2.34431,1,
3.87,2.2864,1,
3.88,2.22581,1,
3.89,2.17403,1.10208,
3.9,2.13185,1.63425,
3.91,2.11037,2.04319,
3.92,2.11076,2.25045,
3.93,2.133,2.04319,
3.94,2.17058,1.66786,
3.95,2.23233,1.10769,
3.96,2.29253,1,
3.97,2.35543,1,
3.98,2.40758,1,
3.99,2.44095,1,
4,2.45437,1,
4.01,2.44938,1,
4.02,2.42791,1,
4.03,2.38534,1,
4.04,2.32858,1,
4.05,2.26492,1,
4.06,2.20586,1,
4.07,2.15946,1.20852,
4.08,2.12188,1.72388,
4.09,2.10654,2.27846,
4.1,2.11613,2.22805,
4.11,2.14259,1.99277,
4.12,2.18861,1.58384,
4.13,2.25035,1,
4.14,2.31324,1,
4.15,2.37575,1,
4.16,2.42177,1,
4.17,2.44977,1,
4.18,2.45629,1,
4.19,2.44593,1,
4.2,2.41717,1,
4.21,2.36425,1,
4.22,2.30864,1,
4.23,2.24613,1,
4.24,2.18937,1,
4.25,2.14182,1.31495,
4.26,2.09887,2.22907,
4.27,2.06512,2.69549,
4.28,2.04403,3.02324,
4.29,2.03291,3.21233,
4.3,2.02984,3.3573,
4.31,2.02639,3.41402,
4.32,2.02447,3.40772,
4.33,2.02064,3.43923,
4.34,2.00875,3.54008,
4.35,1.98535,4.05062,
4.36,1.94854,4.49183,
4.37,1.89715,5,
4.38,1.83157,5,
4.39,1.75756,5,
4.4,1.67587,5,
4.41,1.59035,5,
4.42,1.50253,5,
4.43,1.42392,4.72188,
4.44,1.35335,3.77644,
4.45,1.29238,2.89403,
4.46,1.24252,2.15658,
4.47,1.21645,1.24266,
4.48,1.20993,1.14181,
4.49,1.22143,1.25526,
4.5,1.25173,1.5452,
4.51,1.2943,2.04313,
4.52,1.33993,3.22178,
4.53,1.37675,3.71341,
4.54,1.41165,4.21764,
4.55,1.43197,4.62734,
4.56,1.42967,4.79751,
4.57,1.40743,4.52649,
4.58,1.36946,4.11049,
4.59,1.30887,3.46129,
4.6,1.2291,1.51999,
4.61,1.15509,1,
4.62,1.10101,1,
4.63,1.04541,1,
4.64,0.998238,1,
4.65,0.973311,1,
4.66,0.974078,1,
4.67,0.992102,1,
4.68,1.02201,1,
4.69,1.07225,1,
4.7,1.13208,1,
4.71,1.19804,1,
4.72,1.24598,1.28678,
4.73,1.29008,2.46543,
4.74,1.32076,2.89403,
4.75,1.33571,3.15245,
4.76,1.32843,3.19027,
4.77,1.30005,2.64191,
4.78,1.25288,2.01162,
4.79,1.19152,1.24896,
4.8,1.1363,1,
4.81,1.08874,1,
4.82,1.03735,1,
4.83,0.995554,1,
4.84,0.971393,1,
4.85,0.970626,1,
4.86,0.986733,1,
4.87,1.01166,1,
4.88,1.05231,1,
4.89,1.10945,1,
4.9,1.17273,1,
4.91,1.22603,1.27417,
4.92,1.2709,1.81623,
4.93,1.30388,2.3961,
4.94,1.32498,3.0516,
4.95,1.32536,3.06421,
4.96,1.30503,2.88772,
4.97,1.26515,2.48434,
4.98,1.20954,1.1229,
4.99,1.15317,1,
5,1.10945,1,
5.01,1.05806,1,
5.02,1.01128,1,
5.03,0.981364,1,
5.04,0.972927,1,
5.05,0.981364,1,
5.06,1.00246,1,
5.07,1.03582,1,
5.08,1.08567,1,
5.09,1.14588,1,
5.1,1.20724,1,
5.11,1.25096,1.83513,
5.12,1.29161,2.3961,
5.13,1.31769,2.79948,
5.14,1.32766,3.03899,
5.15,1.31616,2.88772,
5.16,1.28548,2.50325,
5.17,1.23562,1.87925,
5.18,1.1781,1.1229,
5.19,1.12748,1,
5.2,1.08031,1,
5.21,1.03007,1,
5.22,0.994787,1,
5.23,0.975228,1,
5.24,0.977146,1,
5.25,0.99517,1,
5.26,1.02125,1,
5.27,1.06535,1,
5.28,1.12172,1,
5.29,1.18577,1,
5.3,1.23447,1.3309,
5.31,1.27819,1.87925,
5.32,1.31079,2.44022,
5.33,1.32613,3.07681,
5.34,1.32459,3.09572,
5.35,1.30005,2.88142,
5.36,1.25786,2.45913,
5.37,1.20226,1.09769,
5.38,1.14703,1,
5.39,1.10332,1,
5.4,1.05346,1,
5.41,1.00936,1,
5.42,0.982131,1,
5.43,0.976379,1,
6.01,0.97983,1,
6.02,0.993636,1,
6.03,1.0201,1,
6.04,1.06267,1,
6.05,1.11405,1,
6.06,1.17963,1,
6.07,1.23025,1.18593,
6.08,1.27474,1.77211,
6.09,1.30887,2.79948,
6.1,1.32881,3.07051,
6.11,1.32881,3.15875,
6.12,1.3081,3.03269,
6.13,1.26822,2.64821,
6.14,1.21184,1.31199,
6.15,1.1524,1,
6.16,1.1083,1,
6.17,1.0573,1,
6.18,1.00898,1,
6.19,0.978296,1,
6.2,0.970626,1,
6.21,0.981748,1,
6.22,1.00591,1,
6.23,1.0339,1,
6.24,1.07417,1,
6.25,1.11099,1,
6.26,1.13438,1,
6.27,1.14934,1,
6.28,1.15969,1,
6.29,1.16736,1,
6.3,1.17158,1,
6.31,1.17426,1,
6.32,1.1781,1,
6.33,1.1827,1,
6.34,1.18692,1,
6.35,1.19114,1,
6.36,1.19075,1,
6.37,1.19114,1,
6.38,1.1873,1,
6.39,1.18577,1,
6.4,1.18232,1,
6.41,1.18193,1,
6.42,1.1827,1,
6.43,1.18347,1,
6.44,1.185,1,
6.45,1.18538,1,
6.46,1.18845,1,
6.47,1.19037,1,
6.48,1.1942,1,
6.49,1.19804,1,
6.5,1.20072,1,
6.51,1.20264,1.02206,
6.52,1.20302,1.02836,
6.53,1.20264,1.06618,
6.54,1.20341,1.04727,
6.55,1.20456,1.05357,
6.56,1.20801,1.12921,
6.57,1.21376,1.21114,
6.58,1.22105,1.28678,
6.59,1.23524,1.44435,
6.6,1.25019,1.63344,
6.61,1.25671,1.94228,
6.62,1.2617,1.9801,
6.63,1.26515,2.03683,
6.64,1.26285,2.05574,
6.65,1.25786,1.94228,
6.66,1.24713,1.84144,
6.67,1.23294,1.66496,
6.68,1.21415,1.42544,
6.69,1.19459,1,
6.7,1.18001,1,
6.71,1.17158,1,
6.72,1.16583,1,
6.73,1.16774,1,
6.74,1.17081,1,
6.75,1.1781,1,
6.76,1.19114,1,
6.77,1.20456,1,
6.78,1.21415,1.19854,
6.79,1.22872,1.40653,
6.8,1.23869,1.57041,
6.81,1.24252,1.65865,
6.82,1.23984,1.65865,
6.83,1.23562,1.60823,
6.84,1.2268,1.50738,
6.85,1.21415,1.35611,
6.86,1.19804,1,
6.87,1.18347,1,
6.88,1.17541,1,
6.89,1.17004,1,
6.9,1.16851,1,
6.91,1.17081,1,
6.92,1.17388,1,
6.93,1.18155,1,
6.94,1.19229,1,
6.95,1.19996,1.00945,
6.96,1.20801,1.09139,
6.97,1.2199,1.26157,
6.98,1.22527,1.3435,
6.99,1.22949,1.45696,
7,1.22795,1.48847,
7.01,1.2245,1.43175,
7.02,1.21683,1.35611,
7.03,1.20801,1.12921,
7.04,1.19689,1,
7.05,1.18692,1,
7.06,1.18193,1,
7.07,1.1827,1,
7.08,1.17886,1,
7.09,1.18001,1,
7.1,1.18193,1,
7.11,1.185,1,
7.12,1.19075,1,
7.13,1.19574,1,
7.14,1.19842,1,
7.15,1.20648,1.02206,
7.16,1.20954,1.16702,
7.17,1.213,1.19223,
7.18,1.2153,1.23005,
7.19,1.21376,1.23005,
7.2,1.20993,1.20484,
7.21,1.20494,1.09769,
7.22,1.20034,1.02836,
7.23,1.19535,1,
7.24,1.19267,1,
7.25,1.19229,1,
7.26,1.19305,1,
7.27,1.19497,1,
7.28,1.19535,1,
7.29,1.19535,1,
